subject,with_brown_rules,prompt_type,poem_text,ai_vector,brown_sim_1,brown_sim_2,brown_sim_3,brown_sim_4,brown_sim_5,average_similarity_score
love,True,figurative,"The heart learns stillness from an empty room,  
A hush where echoes swell and crawl like vines.  

A hush where echoes swell and crawl like vines,  
I trace their paths to find what they entwine.  

I trace their paths to find what they entwine,  
A door left open, ghosts sip at the air.  

A door left open, ghosts sip at the air,  
Their whispers tangle threads I cannot bear.  

Their whispers tangle threads I cannot bear,  
Each knot a story spun from frailest thread.  

Each knot a story spun from frailest thread,  
Its weight enough to rouse the quiet dead.  

Its weight enough to rouse the quiet dead—  
The heart learns stillness from an empty room.  ","[0 0 0 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 2 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0
 0 0 0 0 0]",0.23,0.41,0.42,0.29,0.37,0.34
love,True,specific,"The letters we wrote turned to ash in the wind.  
Smoke ribboned upward, twisting like old regret.  

Smoke ribboned upward, twisting like old regret,  
Every word unspoken caught fire that night.  

Every word unspoken caught fire that night—  
What could not be said began to haunt the air.  

What could not be said began to haunt the air;  
Flames flickered where truth once whispered your name.  

Flames flickered where truth once whispered your name,  
Paper folded sharp as the edge of goodbye.  

Paper folded sharp as the edge of goodbye,  
Each flame a syllable spelling out our grief.  

Each flame a syllable spelling out our grief—  
The letters we wrote turned to ash in the wind.  ","[0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 8 0 0 0 0 0 4 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 2 0 2 0 0
 0 0 0 2 0]",0.28,0.55,0.49,0.4,0.44,0.43
love death avoidance,True,general,"I dreamt your touch was the edge of a blade—  
The gentlest wounds don’t feel like wounds at all.  

The gentlest wounds don’t feel like wounds at all;  
A kiss can cut where skin pretends to heal.  

A kiss can cut where skin pretends to heal,  
Yet silence, sharper, keeps the heart undone.  

Yet silence, sharper, keeps the heart undone,  
I held my breath and mistook it for living.  

I held my breath and mistook it for living;  
What isn’t said makes ghosts of memory.  

What isn’t said makes ghosts of memory,  
And yet I waited, fearing the last goodbye.  

And yet I waited, fearing the last goodbye—  
I dreamt your touch was the edge of a blade.  ","[0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0
 0 0 0 2 0]",0.43,0.51,0.42,0.37,0.53,0.45
love death avoidance,True,figurative,"The clock hands scrape their way through shadowed time,  
Each second splits the air like whispered crime.  

Each second splits the air like whispered crime—  
A silence turns to louder moons that chime.  

A silence turns to louder moons that chime,  
Each pulse unveiled beneath the skin’s thin grime.  

Each pulse unveiled beneath the skin’s thin grime—  
A fragile hymn that fights against decline.  

A fragile hymn that fights against decline,  
The body bends but swears it’s still divine.  

The body bends but swears it’s still divine,  
A vessel built to war the fading line.  

A vessel built to war the fading line,  
The clock hands scrape their way through shadowed time.  ","[ 0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0
  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  4 10  0  0  0  0  2  4  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]",0.22,0.5,0.36,0.28,0.32,0.34
love death avoidance,True,specific,"The air was thick with the weight of withheld rain.  
Inside, your hands tightened their grip on the glass.  

Inside, your hands tightened their grip on the glass,  
As if it might shatter like words left unsaid.  

As if it might shatter like words left unsaid,  
I glanced outside, where the sky was close to tears.  

I glanced outside, where the sky was close to tears,  
And heard the hum of thunder roll through the trees.  

I heard the hum of thunder roll through the trees,  
Its low murmur aching, like lines we forgot.  

Its low murmur aching, like lines we forgot,  
While your breath slowed—unsure, yet still breaking mine.  

While your breath slowed—unsure, yet still breaking mine,  
The rain refused to fall, just kept holding back.  

The air was thick with the weight of withheld rain.  ","[ 0  0  0  0  0  0  0  1  0  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  2  2  0  0  0  0  0  0  4  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  4  2  0  0  0  0  0  0  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 13  0  0  0  0  2  3  0  0  0  0  0
  0  0  0  0  0  0  0  4  2  0  0  0  0  0  2  0  2  0  0  0  4  0]",0.33,0.51,0.4,0.38,0.45,0.41
memory & nostalgia,True,general,"The past arrives like smoke in a quiet room,  
It stains the air and turns everything gray.  

It stains the air and turns everything gray—  
A shadow that folds the light out of reach.  

A shadow that folds the light out of reach,  
Whisper-soft, it knows the shape of your voice.  

Whisper-soft, it knows the shape of your voice,  
A song half-sung, undone by its echoes.  

A song half-sung, undone by its echoes,  
I hear it now, though time has made it smaller.  

I hear it now, though time has made it smaller,  
The stars erasing themselves from the night.  

The stars erasing themselves from the night—  
The past arrives like smoke in a quiet room.  ","[ 0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  8  2  0  0  0  0  0  2  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 12  0  0  0  2  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0]",0.33,0.52,0.34,0.35,0.39,0.38
memory & nostalgia,True,figurative,"Where have all the voices gone that sang to me?  
They whispered like wind through sharp, amber light.  

They whispered like wind through sharp, amber light—  
An ache that curls soft but pulls me farther back.  

An ache that curls soft but pulls me farther back,  
To the hum of a house that no longer stands.  

The hum of a house that no longer stands,  
Its windows once glowed, tender as open hands.  

Its windows once glowed, tender as open hands,  
Framing faces that blurred through passing time.  

Framing faces that blurred through passing time,  
I call, but what echoes is silence, not sound.  

I call, but what echoes is silence, not sound.  
Where have all the voices gone that sang to me?  ","[0 0 0 0 0 0 2 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 4 0 2 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
 0 0 0 0 0 0 0 8 4 0 2 0 0 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0
 0 0 0 0 0]",0.25,0.33,0.35,0.21,0.24,0.28
memory & nostalgia,True,specific,"The scent of late August lingers in the air.  
Sweet grass wilts under the weight of sunlit haze.  

Sweet grass wilts under the weight of sunlit haze,  
Where we once sat, our knees brushing, the past alive.  

Where we once sat, our knees brushing, the past alive,  
Cicadas screamed songs that made silence feel too much.  

Cicadas screamed songs that made silence feel too much—  
In their rhythm, the edge of longing hummed sharp.  

In their rhythm, the edge of longing hummed sharp,  
A trace of you stitched into the air like thread.  

A trace of you stitched into the air like thread:  
A fragrance clings—it's memory, or it’s loss.  

A fragrance clings—it's memory, or it’s loss.  
The scent of late August lingers in the air.  ","[ 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  4  0  0  4  0  0  0  0  0  0  0  2  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  8  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2 12  0  0  0  0  0  0  2  0  0  0  0
  0  0  0  0  0  0  0  0  2  0  0  0  0  0  2  0  0  0  2  0  0  0]",0.33,0.58,0.43,0.45,0.51,0.46
men & women,True,general,"A man and a woman are storms in retreat,  
Their hearts collide, yet seek shelter in silence.  

Their hearts collide, yet seek shelter in silence,  
Echoes of words dissolve into cold rooms.  

Echoes of words dissolve into cold rooms,  
Each absence a wound they dare not expose.  

Each absence a wound they dare not expose,  
The mirror bears witness to fragile resolve.  

The mirror bears witness to fragile resolve,  
Reflections fracture where longing begins.  

Reflections fracture where longing begins,  
Bound by desire, yet torn by its chains.  

Bound by desire, yet torn by its chains,  
A man and a woman are storms in retreat.  ","[0 0 0 0 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0]",0.16,0.33,0.39,0.45,0.38,0.34
men & women,True,figurative,"The fire said it would not burn us to the bone.  
Its heat, though soft, soon left us ash and smoke.  

Its heat, though soft, soon left us ash and smoke.  
What blooms in trust can break when hands provoke.  

What blooms in trust can break when hands provoke,  
Yet silence tempts me as it weaves the yoke.  

Yet silence tempts me as it weaves the yoke—  
Two shadows tangled, neither whole, both broke.  

Two shadows tangled, neither whole, both broke;  
The dance of mirrors hides what once was spoke.  

The dance of mirrors hides what once was spoke—  
A truth too jagged for the throat to cloak.  

A truth too jagged for the throat to cloak,  
The fire said it would not burn us to the bone.  ","[ 0  0  0  0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  0  0  4  2  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 10  0  0  0  2  0  4  2  0  0  0  2
  0  0  0  0  4  0  0  2  0  0  0  0  4  2  0  0  0  0  0  0  0  0]",0.26,0.52,0.42,0.41,0.39,0.4
men & women,True,specific,"He left his glass on the windowsill at dusk.  
The amber light caught where his lips had been.  

The amber light caught where his lips had been,  
A trace of wanting pressed into the rim.  

A trace of wanting pressed into the rim,  
Her fingers lingered, circling the stain.  

Her fingers lingered, circling the stain,  
The silence hummed like something left unsaid.  

The silence hummed like something left unsaid,  
Both waiting till the air grew thick with ache.  

Both waiting till the air grew thick with ache—  
He stood, unmoving, and she held her breath.  

He stood, unmoving, and she held her breath.  
He left his glass on the windowsill at dusk.  ","[ 0  0  0  0  0  0  0  2  0  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  4  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  2  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  2  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0 12  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  2  0  0  0  0  0]",0.31,0.5,0.33,0.44,0.44,0.4
mythology & folklore,True,general,"The gods still whisper beneath the breath of trees,  
Their stories seed shadows with words untold.  

Their stories seed shadows with words untold,  
A language born of fire, smoke, and ache.  

A language born of fire, smoke, and ache,  
Carries the weight of gods disguised as men.  

Carries the weight of gods disguised as men,  
Who walk among us, cloaked in fog and song.  

Who walk among us, cloaked in fog and song,  
Their laughter cracks the sky, their tears flood plains.  

Their laughter cracks the sky, their tears flood plains,  
While mortals pray in tongues carved into rock.  

While mortals pray in tongues carved into rock,  
The gods still whisper beneath the breath of trees.  ","[0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 2
 0 0 0 0 0]",0.3,0.6,0.51,0.46,0.53,0.48
mythology & folklore,True,figurative,"The woods speak softly of gods who once roamed free.  
Their voices linger faint within hollowed trees.  

Their voices linger faint within hollowed trees,  
A language carved in bark by hands now lost.  

A language carved in bark by hands now lost,  
Marks the price of being seen and holding power.  

Marks the price of being seen and holding power:  
How many stories live in a single name?  

How many stories live in a single name,  
Each syllable a refuge for those forgotten?  

Each syllable a refuge for those forgotten—  
What’s left of them now dwells in whispers, in dusk.  

What’s left of them now dwells in whispers, in dusk;  
The woods speak softly of gods who once roamed free.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 2 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0
 0 0 0 0 0]",0.22,0.48,0.45,0.49,0.42,0.41
mythology & folklore,True,specific,"At dusk, the lantern flickers, caught in wind,  
Its glow bends where lost travelers begin.  

Its glow bends where lost travelers begin,  
A shadow dances—who will let it in?  

A shadow dances—who will let it in?  
The stories say it guards a buried sin.  

The stories say it guards a buried sin,  
A beast unseen but breathing from within.  

A beast unseen but breathing from within,  
It hums in tune with mournful violins.  

It hums in tune with mournful violins,  
The air is thick; the pact is sealed—no wins.  

The air is thick; the pact is sealed—no wins,  
At dusk, the lantern flickers, caught in wind.  ","[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 6 4 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2
 0 0 0 0 0]",0.26,0.45,0.37,0.44,0.31,0.37
nature,True,general,"The trees hum songs no one can truly hear.  
A low wind bends their voices into prayer.  

A low wind bends their voices into prayer,  
While roots grip earth like hands holding despair.  

While roots grip earth like hands holding despair,  
The soil remembers what we’ve left unclear.  

The soil remembers what we’ve left unclear—  
Each footprint marks the weight of fleeting care.  

Each footprint marks the weight of fleeting care,  
Yet rivers cleanse the sins we leave them bare.  

Yet rivers cleanse the sins we leave them bare,  
Their depths conceal what we cannot repair.  

Their depths conceal what we cannot repair.  
The trees hum songs no one can truly hear.  ","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 0 0 0 0 2 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 4 0 0 0 0
 0 0 0 0 0]",0.26,0.41,0.3,0.29,0.35,0.32
nature,True,figurative,"Beneath the trees, the earth is breathing slow.  
I feel its pulse beneath my tired feet.  

I feel its pulse beneath my tired feet,  
A rhythm older than the blood I know.  

A rhythm older than the blood I know,  
Whispering truths in languages of stone.  

Whispering truths in languages of stone,  
The river sings what roots have left unsaid.  

The river sings what roots have left unsaid,  
And carries shadows carved from fading storms.  

And carries shadows carved from fading storms,  
Their echoes soft against the face of time.  

Their echoes soft against the face of time,  
Beneath the trees, the earth is breathing slow.  ","[ 0  0  0  0  2  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  2  2  0  0  2  2  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0
  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  2  0 10  0  0  0  0  0  0  0  0  0  0  0
  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  0  0  0  0  0  0  0]",0.38,0.66,0.4,0.43,0.5,0.48
nature,True,specific,"The river’s edge runs soft beneath my feet,  
It hums like strings pulled tight in aching air.  

It hums like strings pulled tight in aching air,  
Its voice both comfort and a quiet sting.  

Its voice both comfort and a quiet sting,  
I see my shadow drawn long on the bank.  

I see my shadow drawn long on the bank,  
The water mirrors all I’ll never say.  

The water mirrors all I’ll never say,  
A glint of silver fish fades out of sight.  

A glint of silver fish fades out of sight,  
Their leaving stretches time into a thread.  

Their leaving stretches time into a thread—  
The river’s edge runs soft beneath my feet.  ","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 2 0 0 2 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 4 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]",0.52,0.59,0.41,0.4,0.56,0.5
